trial	value	min_samples_leaf	max_leaf_nodes	max_samples
0	0.05416469428101011	15	318	0.9677997137513386
1	0.05416469428101011	13	1550	0.8100629175930345
2	0.05416596055428962	8	1681	0.6493830318997396
3	0.05416142897592101	14	1281	0.8274413105833522
4	0.05416663143543162	24	1231	0.5359066635940124
5	0.05416469428101011	27	1144	0.6852932204827753
6	0.054165302574708044	9	1193	0.8730105117084864
7	0.05416469428101011	23	1423	0.8236383284712216
8	0.054167283148541	21	653	0.6033979995532659
9	0.05416467582303347	29	1755	0.7241146757790802
