trial	value	min_samples_leaf	max_leaf_nodes	max_samples
0	0.043602049730150236	13	664	0.9821733169727271
1	0.04360141019859431	14	1514	0.7179865450414056
2	0.04360272061129224	11	1892	0.52811800788168
3	0.043602049730150236	28	294	0.9577897653621048
4	0.04360208107973631	26	352	0.5833037432837083
5	0.04360206889818286	21	1194	0.8972569135010426
6	0.04360272061129224	20	1691	0.6785328343053812
7	0.04360271409788309	30	1558	0.924216497947028
8	0.043602049730150236	12	817	0.8500091037276901
9	0.04360339162141263	13	1015	0.6623180923006207
