,N°ordre,PPN,TITRE,RESUME,INDEX_UNI_AFE,INDEX_AFE,INDEX_UNI_MCR,INDEX_MCR,INDEX_UNI_JMF,INDEX_JMF,INDEX_UNI_LPL,INDEX_LPL,INDEX_UNI_LJZ,INDEX_LJZ,INDEX_UNI_MPD,INDEX_MPD,embedding_chains,embeddings_autorites
0,79,000308838,Les sommets de l'État : essai sur l'élite du pouvoir en France,"u XIXe siècle à nos jours, l'Etat ""fort"" à la française a connu bien des vicissitudes que l'on se propose de retracer ici. Institution prestigieuse attirant vers elle les élites de la nation issues des Grandes Ecoles, l'Etat organise les activités les plus diverses grâce à son armée de fonctionnaires fidèles à la logique de leur rôle et aux valeurs du service public. Les élites politiques et celles de l'Etat en viennent alors souvent à se confondre, d'autant que l'état demeure fermé aux intrus du monde des affaires, des professions libérales ou des milieux syndicaux. La République des fonctionnaires étend son contrôle loin dans la société à travers les entreprises publiques, ou encore par le biais du pantouflage. Cet Etat ""fort"" n'en rencontre pas moins la vive hostilité des élites issues des partis de masse ou des notables de province solidement attachés à leurs fiefs ; le mouvement ouvrier et, davantage encore, les milieux économiques dominants récusent aussi sa légitimité au nom de leurs valeurs propres. En dépit de ces refus, en France, l'Etat est demeuré le lieu de régulation de la vie sociale ou culturelle. De nos jours pourtant, après les diverses alternances, de nouveaux processus de circulation des élites se profilent, estompant peu à peu les frontières autrefois si nettement défendues de l'Etat.","606$3027223345$aClasses dirigeantes$3027226794$yFrance$302726470X$zHistoire
606$3027835154$aPouvoir communautaire$3027226794$yFrance",Classes dirigeantes -- France -- Histoire;;Pouvoir communautaire -- France,"606 $3027365581$aPouvoir (sciences sociales)$3027223345$xClasses dirigeantes
606 $3027225224$aÉlite (sciences sociales)$3027322610$xHauts-fonctionnairess",Pouvoir (sciences sociales) -- Classes dirigeantes ;;Élite (sciences sociales) -- Hauts-fonctionnairesss,"606$3027223345$aClasses dirigeantes$302779430X$xRelations avec l'État$3027226794$yFrance  
606$3118293141$aConstruction nationale$3027226794$yFrance 
606$3028928431$aLeadership politique$3027226794$yFrance$302726470X$zHistoire",Classes dirigeantes -- Relations avec l'État -- France  ;;Construction nationale -- France ;;Leadership politique -- France -- Histoire,"606$3027322610$aHauts-fonctionnairesss$3027226794$yFrance‎
606$3027223345$aClasses dirigeantes$3027226794$yFrance‎‎$3027794059$z19e siècle
606$3027223345$aClasses dirigeantes$3027226794$yFrance‎‎‎$3086305646$z20e siècle

",Hauts-fonctionnairesss -- France;;Classes dirigeantes -- France -- 19e siècle;;Classes dirigeantes -- France -- 20e siècle,"606$3027223345$aClasses dirigeantes$3027226794$yFrance
606$3027322610$aHauts-fonctionnairesss$3027226794$yFrance
606$028248287$aRelations gouvernement central-Collectivités locales$3027226794$yFrance",Classes dirigeantes -- France;;Hauts-fonctionnairesss -- France;;Relations gouvernement central-Collectivités locales -- France,"606$3027223345$aClasses dirigeantes$3027226794$yFrance$302726470X$zHistoire
606 $3027225224$aÉlite (sciences sociales)$3027322610$xHauts-fonctionnairess$3027226794$yFrance‎
606$028248287$aRelations gouvernement central-Collectivités locales$3027226794$yFrance",Classes dirigeantes -- France -- Histoire;;Élite (sciences sociales) -- Hauts-fonctionnairess -- France;;Relations gouvernement central-Collectivités locales -- France,"['État', 'Administration publique', 'Fédéralisme', 'Fonctionnaires', 'Fonction publique', 'Administration']","['État', 'Administration publique', 'Fédéralisme', 'Fonctionnaires', 'Fonction publique', 'Administration']"
1,58,003632806,Les intellectuels sous la Ve République : 1958-1990,"Célèbres, influents, on les voit, on en parle : les intellectuels, décriés ou adulés, s'ils font toujours d'objet d'un culte en France, souffrent pourtant d'une crise d'identité. Démantèlement de l'URSS, chute des régimes communistes, emprise de la communication sur la connaissance... La hiérarchie des intellectuels est bousculée, dominants et dominés échangent leurs vestes, un nouvel équilibre, précaire, se dessine. Sous forme d'analyse sociologique et d'enquête - plus de quatre-vingts de ces ""clercs "" ont été interrogés - Rémy Rieffel étudie leurs nouveaux modes d'affiliation (T 1), les instruments de leur légitimation (T 2) et les voies de leur consécration (T 3)",606$3027235149$aIntellectuels$3027284948$yFrance‎ -- 1958-.... (5e République),Intellectuels -- France -- 1958-.... (5e République),606 $3027235149$aIntellectuels$3027226794$yFrance$3033472890$z1945-....,Intellectuels -- France -- 1945,"606$3028696980$aIntellectuels français$3049647490$xSociologie 
606$3027235149$aIntellectuels$3027284948$yFrance$z1958-.... (5e République)",Intellectuels français -- Sociologie ;;Intellectuels -- France -- 1958-.... (5e République),"606$027235149$aIntellectuels$3027284948$yFrance -- 1958 (5e République)
606$027235149$aIntellectuels$3027791246$xInfluence$3027226794$yFrance‎",Intellectuels -- France -- 1958 (5e République);;Intellectuels -- Influence -- France,"606$3027235149$aIntellectuels$3027226794$yFrance
606$3027255670$aVie intellectuelle$3027226794$yFrance",Intellectuels -- France;;Vie intellectuelle -- France,606 ##‎$3027235149Intellectuels‎$3027284948$yFrance‎ -- 1958-.... (5e République),Intellectuels -- France -- 1958-.... (5e République),"['Intellectuels -- Activité politique', 'Intellectuels', 'Travail intellectuel', 'Esprit critique', 'Sociologie de la connaissance', 'Propriété intellectuelle (droit européen)']","['Intellectuels', 'Activité politique', 'Intellectuels', 'Travail intellectuel', 'Esprit critique', 'Sociologie de la connaissance', 'Propriété intellectuelle (droit européen)']"
2,59,047450037,"Bouddha, bouddhisme","La 4e de couv. indique : ""Ce petit livre répond de façon claire, brève et précise à un grand nombre d'interrogations que nous nous posons. Le bouddhisme est-il une religion ? Qui était le Bouddha ? Quel est le contenu de son enseignement ? Il propose, en même temps que de faire comprendre le rayonnement de son message, d'accompagner la lecture par des extraits de textes, des illustrations, des citations. Un guide pratique et un glossaire indiquent enfin à ceux qui le désirent comment aller sur les traces du Bouddha.""",606$3027321835$aBouddhisme,Bouddhisme,606 $3027321835$aBouddhisme,Bouddhisme,"606$3027431215$aPhilosophie bouddhique 
606$3027360954$aSpiritualité bouddhique ",Philosophie bouddhique ;;Spiritualité bouddhique,"606$3027321835$aBouddhisme$3027789853$xEtude et enseignement
606$3027431215$aPhilosophie bouddhique$3027789853$xEtude et enseignement
606$3027360954$aSpiritualité bouddhique",Bouddhisme -- Étude et enseignement;;Philosophie bouddhique -- Étude et enseignement;;Spiritualité bouddhique,"606$3027321835$aBouddhisme$3030974208$xCoutumes et pratiques
606$3027845346$aBouddhisme -- Doctrines",Bouddhisme -- Coutumes et pratiques;;Bouddhisme -- Doctrines,606$3027321835$aBouddhisme,Bouddhisme,"['Bouddhisme -- Anthologies', 'Bouddhisme -- Livres sacrés', 'Bouddhisme', 'Bouddhisme -- Doctrines religieuses -- Ouvrages de vulgarisation', ""Gestion d'entreprise -- Aspect religieux -- Bouddhisme"", 'Dessin -- Aspect religieux -- Bouddhisme']","['Bouddhisme', 'Anthologies', 'Bouddhisme', 'Livres sacrés', 'Bouddhisme', 'Bouddhisme', 'Doctrines religieuses', 'Ouvrages de vulgarisation', ""Gestion d'entreprise"", 'Aspect religieux', 'Bouddhisme', 'Dessin', 'Aspect religieux', 'Bouddhisme']"
3,65,058296182,L'homme devant l'incertain,"La quatrième de couverture indique : ""Réintroduire dans la science la flèche du temps fut l'une des ambitions qui auront marqué mes recherches sur une période de l'ordre d'un demi-siècle. Nous voyons aujourd'hui se dégager de nouveaux horizons qui nous permettent d'envisager une reformulation des lois de la nature. A l'univers automate succède une nature en construction ; la notion de ""nouveau"" prend un sens cosmologique. Le futur n'est pas donné. Nous pouvons aujourd'hui donner un sens précis à cette condition de toute créativité grâce aux outils que nous procurent les mathématiques modernes. La flèche du temps et l'évolution créatrice, notions étroitement associées, posent, dans de nombreux domaines, des questions que je crois décisives. Pour traiter de tels sujets, il fallait ouvrir le dialogue avec des représentants de pratiques scientifiques différentes. C'est ce que nous avons tenté de faire.""",606$302736576X$aPhilosophie et sciences,Philosophie et sciences,606 $3027248283$aPhilosophie des sciences,Philosophie des sciences,"606$3027286584$aCréativité$3027248275$xSciences 
606$3034834931$aDevenir (philosophie) 
606$3034986030$aIncertitude",Créativité -- Sciences ;;Devenir (philosophie) ;;Incertitude,"606$3027248283$aPhilosophie des sciences
606$3033989184$aFutur (philosophie)",Philosophie des sciences;;Futur (philosophie),"606$3027582957$aLoi (philosophie)
606$302736576X$aPhilosophie et sciences",Loi (philosophie);;Philosophie et sciences,"606$302736576X$aPhilosophie et sciences
606‎$3027675432$aTemps
606$3034986030$aIncertitude",Philosophie et sciences;;Temps;;Incertitude,"['Philosophie des sciences', 'Philosophie et sciences', 'Prévision', 'Progrès scientifique et technique', 'Évolution sociale', 'Monde (philosophie)']","['Philosophie des sciences', 'Philosophie et sciences', 'Prévision', 'Progrès scientifique et technique', 'Évolution sociale', 'Monde (philosophie)']"
4,80,059911174,Imperator Caesar Augustus : recherches sur le pouvoir impérial romain (Ier siècle av. - début du IVe siècle ap. J.-C.),"Ce dossier comporte quatre volumes qui abordent la définition du pouvoir impérial romain en retenant l'espace urbain de Rome comme lieu privilégié d'analyse de ses manifestations les plus significatives. Le mémoire de synthèse permet en ouverture de retracer un itinéraire de recherche en dressant l'état des lieux d'une enquête menéedans le cadre de travaux universitaires mais également relayée par l'enseignement. Deux essais traitant de  la titulature du prince et de son pouvoir normatif structurent cette présentation des modalités d'approche du sujet justifiant de placer l'empereur romain entre communauté des hommes et communauté des dieux. Figure en deuxième position le livre tiré de notre thèse de doctorat soutenue en 1992 et publiée sous le titre La Fête à Rome au premier siècle de l'Empire. Recherches sur l'univers festif sous les règnes d'Auguste et des Julio-Claudiens, "" collection Latomus "" no248, Bruxelles, 1999. Le troisième volume correspond à un nouvel ouvrage intitulé Le prince et la cité. pouvoir impérial et cérémonies publiques. Il aborde le problème de la définition du régime impérial en prenant appui sur les manifestations publiques du pouvoir de l'empereur à Rome et en choisissant une période d'analyse vaste mais cohérente qui nous semble susceptible - de la fin de la République au tournant de l'Empire chrétien sous Constantin avec l'abandon de Rome comme résidence impériale - d'éclairer les principales évolutions et de traduire les grandes lignes de ce principat, entre république et monarchie. Ont été regroupées sous les thèmes de la reconnaissance et de l'identification du prince, puis des liens entre ce dernier, la cité et les communautés des hommes et des dieux, trois démarches exploitant les données selon des angles d'approche différents pour traiter de l'entrée solennelle et des funérailles publiques des empereurs, puis de leur triomphe et de l'éternité de la cité et de la fonction impériale, enfin d'une image du prince en prêtre et père de la patrie, à mi-chemin entre hommes et dieux","606$3027873757$aCulte impérial$302724301X$yRome (Italie)
606$3027517527$aEmpereurs$302724301X$yRome (Italie)",Culte impérial -- Rome (Italie);;Empereurs -- Rome (Italie),606 $3027234312$aImpérialisme$3027365581$xPouvoir (sciences sociales)$3034909532$xConseil du prince (Rome),Impérialisme -- Pouvoir (sciences sociales) -- Conseil du prince (Rome),"606$3027873757$aCulte impérial$3027243001$yRome 
606$3029353831$aPolitique et gouvernement$yRome$z30 av. J.-C.-284
606$3027517527$aEmpereur$3027243001$yRome ",Culte impérial -- Rome ;;Politique et gouvernement -- Rome -- 30 av. J.-C.-284;;Empereur -- Rome,"606$3027365581$aPouvoir (sciences sociales)$302726470X$xHistoire$302724301X$yRome (Italie)
606$3154298611$aPersonnalisation du pouvoir$302726470X$xHistoire$302724301X$yRome (Italie)",Pouvoir (sciences sociales) -- Histoire -- Rome (Italie);;Personnalisation du pouvoir -- Histoire -- Rome (Italie),"606$3027873757$aCulte impérial$302724301X$yRome (Italie)
606$3027517527$aEmpereurs$302724301X$yRome (Italie)
606$3027728110$aPolitique et gouvernement$3027558460$yRome$x30 av J.-C-284",Culte impérial -- Rome (Italie);;Empereurs -- Rome (Italie;;Politique et gouvernement -- Rome -- 30 av. J.-C-284,"606$3154298611$aPersonnalisation du pouvoir‎$3027646475$yRome -- Histoire
606$3034363238$aRites et cérémonies politiques‎$3027646475$yRome -- Histoire
606$3027495027$aCulte impérial -- Rome ",Personnalisation du pouvoir -- Rome -- Histoire;;Rites et cérémonies politiques -- Rome -- Histoire;;Culte impérial -- Rome,"['Voies romaines', 'Colonies romaines', 'Romanisation', 'Architecture romaine', 'Municipes (droit romain)', 'Limes (fortifications romaines)']","['Voies romaines', 'Colonies romaines', 'Romanisation', 'Architecture romaine', 'Municipes (droit romain)', 'Limes (fortifications romaines)']"
5,8,067313493,L'escalade en situation,"Au cours des trois premiers axes de travail, Serge Testevuide propose, pour le cours d'EPS, des situations d'escalade en bloc et en moulinette : saisir et utiliser les prises, varier et coordonner ses gestuelles, lire et enchaîner les passages d'une voie. Dans l'axe 4, plus particulièrement, il met l'accent sur le grimper en tête et la sécurité.","606$3050248359$aEscalade sur paroi artificielle$3027789853$xEtude et enseignement
606$3050248359$aEscalade sur paroi artificielle$3027246159$xMéthodes pédagogiques",Escalade sur paroi artificielle -- Étude et enseignement;;Escalade sur paroi artificielle -- Méthodes pédagogiques,606 $3027224260$aEscalade de rocher$3027789853$xEtude et enseignement,Escalade de rocher -- Étude et enseignement,"
606$3050248359$aEscalade sur paroi artificielle$3027792110$xPratique
606$3050248340$aEscalade libre$3027792110$xPratique",Escalade sur paroi artificielle -- Pratique;;Escalade libre -- Pratique,"606$3050248359$aEscalade sur paroi artificielle$3027246159$xPédagogie
606$3050248359$aEscalade sur paroi artificielle$3027789853$xÉtude et enseignement",Escalade sur paroi artificielle -- Pédagogie;;Escalade sur paroi artificielle -- Étude et enseignement,"606$3050248340$aEscalade libre
606$3027224260$aEscalade de rocher",Escalade libre;;Escalade de rocher,606‎$3050248359$aEscalade sur paroi artificielle‎$3027789853$xÉtude et enseignement,Escalade sur paroi artificielle -- Étude et enseignement,"['Escalade libre', 'Escalade sur paroi artificielle', 'Escalade de rocher', 'Sports de montagne', 'Enlèvement', ""Structures artificielles d'escalade""]","['Escalade libre', 'Escalade sur paroi artificielle', 'Escalade de rocher', 'Sports de montagne', 'Enlèvement', ""Structures artificielles d'escalade""]"
6,49,070072973,"Cahier d'activités : B2i, Brevet Informatique et Internet, niveau 2","Chaque compétence est traitée en trois points : les notions fondamentales, des exercices d'entraînement, des situations de validation de la compétence.","606$3027234886$aInformatique
606$3118827138$aBrevet Informatique et Internet (pédagogie)",Informatique;;Brevet Informatique et Internet (pédagogie),606 $3118827138$aBrevet informatique et Internet (éducation)$3027789853$xÉtude et enseignement,Brevet informatique et Internet (éducation) -- Étude et enseignement,"606$3118827138$aBrevet informatique et Internet (éducation)
606$3027234886$aInformatique$3078711606$xLittératie
606$3052499103$aTechnologies de l'information et de la communication",Brevet informatique et Internet (éducation);;Informatique -- Littératie;;Technologies de l'information et de la communication,"606$3118827138$aBrevet informatique et internet (éducation)
606$3027234886$aInformatique",Brevet informatique et internet (éducation);;Informatique,"606$3027234886$aInformatique
606$3032317468$aInternet",Informatique;;Internet,"
606‎$3118827138$aBrevet informatique et Internet (éducation)‎$3027789853$xÉtude et enseignement$3027226794$yFrance‎",Brevet informatique et Internet (éducation) -- Étude et enseignement -- France,"['Éducation fondée sur la compétence', 'Internet en éducation', 'Professionnalisme', 'Enseignement assisté par ordinateur', 'Recherche sur Internet', 'Qualifications professionnelles']","['Éducation fondée sur la compétence', 'Internet en éducation', 'Professionnalisme', 'Enseignement assisté par ordinateur', 'Recherche sur Internet', 'Qualifications professionnelles']"
7,91,076503909,Eoliennes en mer et maîtrise foncière : éléments juridiques,"Ce document vise principalement à être un outil pratique à la destination des porteurs de projets et des différents acteurs intervenant dans le cadre de l'implantation d'éoliennes en mer. Il se veut également instrument en vue des discussions inévitables sur la définition de la procédure d'implantation des dites éoliennes. Fondé sur le droit existant et sur la jurisprudence, il ne préjuge en rien des éventuelles modifications législatives ou réglementaires apparues après sa date de réalisation. Ce document est avant tout un document juridique et, même s'il énonce des propositions, il ne s'exprime en aucun cas sur les décisions politiques qui ont été prises ou qui seront prises en matière d'implantation d'éoliennes en mer. Ainsi, ses propositions sont avant tout techniques visant à aider à la prise de décision et à améliorer le droit existant, en aucun cas à s'y substituer.","606$3083024646$aÉnergie éolienne en mer$3027466868$xDroit
606$3027282910$aÉoliennes$3027794725$xConstruction et conception
606$3027282910$aÉoliennes$3033084297$xAménagement",Énergie éolienne en mer -- Droit;;Éoliennes -- Construction et conception;;Éoliennes -- Aménagement,606 $3083024646$aÉnergie éolienne en mer$3027771431$xDroit de la mer,Énergie éolienne en mer -- Droit de la mer,"606$3083024646$aÉnergie éolienne en mer
606$3101481357$aIndustrie éolienne$3027293246$xPropriété foncière$3027466868$xDroit",Énergie éolienne en mer;;Industrie éolienne -- Propriété foncière -- Droit,606$3027282910$aÉoliennes$3027466868$xDroit,Éoliennes -- Droit,"606$3027270343$aÉnergie éolienne$3027466868$xDroit
606$3083024646$aÉnergie éolienne en mer$3027466868$xDroit
606$3027491706$aÉnergies renouvelables$3027466868$xDroit
",Énergie éolienne -- Droit;;Énergie éolienne en mer -- Droit;;Énergies renouvelables -- Droit,"606$3083024646$aÉnergie éolienne en mer$3027466868$xDroit
606$3027282910$aÉoliennes$3027789950$xLocalisation",Énergie éolienne en mer -- Droit;;Éoliennes -- Localisation,"['Énergie éolienne -- Droit', 'Procédure (droit)', 'Preuve (droit)', 'Sécurité juridique', 'Procédure (droit européen)', 'Procédure civile (droit européen)']","['Énergie éolienne', 'Droit', 'Procédure (droit)', 'Preuve (droit)', 'Sécurité juridique', 'Procédure (droit européen)', 'Procédure civile (droit européen)']"
8,54,076986152,La Nouvelle-Calédonie,"Possession française depuis 1853, terre de bagne qui accueillit des communards, eldorado du nickel pendant le boom du début des années 1970, rassemblant un peuple autochtone, les Kanak, des descendants de Français venus d'Europe et des immigrants venus d'Océanie, d'Asie et même d'Afrique du Nord et de l'océan Indien, la Nouvelle-Calédonie demeure peu connue en métropole. Elle a pourtant été à la une de l'actualité à plusieurs reprises, à la suite des manifestations indépendantistes qui s'y sont développées à partir de 1984 et ont culminé avec les violences d'Ouvéa, puis de l'apaisement des accords de Matignon de 1988, ratifiés par un référendum national, enfin, en 1998, de l'accord de Nouméa, qui a nécessité une révision de la Constitution pour mettre en place en Nouvelle-Calédonie un système institutionnel évolutif. Alain Christnacht, qui a exercé en Nouvelle-Calédonie et à Paris des responsabilités aux différentes étapes de ces évolutions, propose des clés pour aborder ce territoire si particulier. Il décrit les étapes de la colonisation, explique les caractéristiques essentielles de la riche culture kanak, montre l'originalité des mécanismes mis en place par les accords de 1988 et 1998. Il s'attache également à analyser les différents secteurs de l'économie de l'île, notamment celui du nickel, à exposer les grandes lignes des politiques éducatives et sociales mises en œuvre tant par l'Etat que par les autorités locales et à replacer la Nouvelle-Calédonie dans son environnement géographique, celui du Pacifique insulaire, dont il présente l'organisation régionale. Unique désormais par ses institutions, qui en font un quasi-Etat fédéré dans notre République unitaire, la Nouvelle-Calédonie illustre aussi les difficultés et les succès d'une politique de "" rééquilibrage "", entre des communautés ethnoculturelles, dans une République qui ne connaît pas, en principe, de telles distinctions. La Nouvelle-Calédonie apparaît ainsi comme un cas bien particulier, en quelque sorte "" limite "", mais qui peut apporter des enseignements utiles pour d'autres situations.","606$3027728110$aPolitique et gouvernement$3027491099$yNouvelle-Calédonie
606$3027429636$aAutonomie et mouvements indépendantistes$3027491099$yNouvelle-Calédonie",Politique et gouvernement -- Nouvelle-Calédonie;;Autonomie et mouvements indépendantistes -- Nouvelle-Calédonie,606 $302726470X$aHistoire$3027491099$yNouvelle-Calédonie,Histoire -- Nouvelle-Calédonie,"606$3027728110$aPolitique et gouvernement$3027491099$yNouvelle-Calédonie 
606$3027994775$aInstitutions politiques$303550157X$yNouvelle-Calédonie$z1988-....
606$3028626885$aConditions économiques$3027491099$yNouvelle-Calédonie$302726470X$zHistoire",Politique et gouvernement -- Nouvelle-Calédonie ;;Institutions politiques -- Nouvelle-Calédonie -- 1988-....;;Conditions économiques -- Nouvelle-Calédonie -- Histoire,"606$3027709485$aKanak (peuple de Nouvelle-Calédonie)$302726470X$xHistoire
606$3027728110$aPolitique et gouvernement$3027491099$yNouvelle-Calédonie
606‎$3028626885$aConditions économiques‎$3027491099$yNouvelle-Calédonie",Kanak (peuple de Nouvelle-Calédonie) -- Histoire;;Politique et gouvernement -- Nouvelle-Calédonie;;Conditions économiques -- Nouvelle-Calédonie,"606$3027728110$aPolitique et gouvernement$3027491099$yNouvelle-Calédonie
606$3027429636$aAutonomie et mouvements indépendantistes$3027491099$yNouvelle-Calédonie
606$302721835X$aAdministration publique$3027491099$yNouvelle-Calédonie",Politique et gouvernement -- Nouvelle-Calédonie;;Autonomie et mouvements indépendantistes -- Nouvelle-Caléronie;;Administration publique -- Nouvelle-Calédonie,"606$3027429636$aAutonomie et mouvements indépendantistes$3027491099$yNouvelle-Calédonie
606$3027728110$aPolitique et gouvernement$3027491099$yNouvelle-Calédonie
606‎$3028626885$aConditions économiques‎$3027491099$yNouvelle-Calédonie
",Autonomie et mouvements indépendantistes -- Nouvelle-Calédonie;;Politique et gouvernement -- Nouvelle-Calédonie;;Conditions économiques -- Nouvelle-Calédonie,"['Kanak (peuple de Nouvelle-Calédonie) -- Identité collective', 'Droit kanak', 'Français -- Colonisation', 'Autonomie et mouvements indépendantistes', 'Kanak (peuple de Nouvelle-Calédonie)', 'Nationalisme']","['Kanak (peuple de Nouvelle-Calédonie)', 'Identité collective', 'Droit kanak', 'Français', 'Colonisation', 'Autonomie et mouvements indépendantistes', 'Kanak (peuple de Nouvelle-Calédonie)', 'Nationalisme']"
9,27,077463560,Alerte francophone : plaidoyer et plan d'action pour les générations futures,"Tantôt décriée, tantôt surestimée, la Francophonie mérite d'être jugée pour ce qu'elle est, avec son passé tumultueux, son présent fragile et ses promesses d'avenir. En ces temps d'hésitation, d'apathie, voire de démission collective, cet espace de 56 membres où vivent 600 millions d'habitants s'avère une chance en ce qu'elle permet d'échapper au choix entre le ""tout Coca Cola"" et le ""tout Ayatollah"". Dans cet ouvrage exhaustif et rigoureux, les deux auteurs ne se contentent pas de décrire la genèse de la saga francophone, de dresser le bilan des forces et faiblesses de la Francophonie, de soupeser les enjeux et les risques de cette aventure collective. Ils tracent aussi des perspectives d'avenir en proposant un grand dessein qui se décline en un plan d'action audacieux, complet et cohérent, assorti de mesures concrètes. [4e de couv.]",606$3027226913$aFrancophonie,Francophonie,606$3027226913$aFrancophonie$3034181156$xResponsabilité sociétale,Francophonie -- Responsabilité sociétale,"606$3027226913$aFrancophonie
606$3177357592$aLangues et relations internationales
606$302741664X$aPolitique linguistique ",Francophonie;;Langues et relations internationales;;Politique linguistique,"606$3027226913$aFrancophonie$3$302726470X$xHistoire
606$3027584763$aPays de langue française$302726470X$xHistoire",Francophonie -- Histoire;;Pays de langue française -- Histoire,"606$3027226913$aFrancophonie 
606$3027276635$aFrançais (langue)$3027224724$xÉvolution",Francophonie;;Français (langue) -- Évolution,606‎$3027226913$aFrancophonie,Francophonie,"['Francophonie', 'Coût et niveau de la vie', 'Marchandisation', 'Mondialisation -- Aspect économique', 'Francophonie -- Aspect politique', 'Économie souterraine']","['Francophonie', 'Coût et niveau de la vie', 'Marchandisation', 'Mondialisation', 'Aspect économique', 'Francophonie', 'Aspect politique', 'Économie souterraine']"
